person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
22,275000,6.0,12000,11.58,0,0.04,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,263000,0.0,10000,11.011528565123772,1,0.04,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,221850,9.0,25000,15.7,1,0.1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,70000,6.0,29100,15.99,1,0.42,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
22,12000,7.0,1500,14.84,0,0.13,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,260000,10.0,28000,10.99,0,0.11,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25,259000,9.0,20000,14.42,0,0.08,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
24,255000,9.0,9600,6.99,0,0.04,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,250000,2.0,25000,13.49,0,0.1,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
25,12000,0.0,3000,11.011528565123772,1,0.25,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
22,56950,6.0,28000,11.011528565123772,1,0.49,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21,12000,6.0,3000,13.61,1,0.25,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
23,65000,2.0,28000,7.9,1,0.43,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,85000,2.0,28000,7.49,1,0.33,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,12000,2.0,6100,7.51,1,0.51,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22,88000,6.0,28000,9.91,1,0.32,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
21,12000,0.0,4200,13.48,1,0.35,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
22,12000,6.0,4750,7.14,1,0.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,83004,0.0,28000,15.99,1,0.34,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
24,250000,2.0,18000,12.98,0,0.07,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
25,100000,5.0,28000,12.69,0,0.28,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,110000,10.0,28000,8.9,0,0.25,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,12000,0.0,2700,11.011528565123772,1,0.23,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,108000,6.0,28000,11.011528565123772,1,0.26,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
23,151200,7.0,28000,11.11,0,0.19,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,69000,2.0,27600,11.011528565123772,1,0.4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,12000,5.0,3250,15.68,1,0.27,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,70000,4.0,27500,13.06,1,0.39,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
22,240000,6.0,25000,11.011528565123772,0,0.1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26,73200,5.0,27050,15.62,1,0.37,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
24,83000,5.0,27000,13.49,1,0.33,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
24,73399,0.0,27000,11.011528565123772,1,0.37,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
23,62500,7.0,26000,11.71,1,0.42,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
23,120000,1.0,25600,12.69,0,0.21,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24,12360,2.0,1600,13.57,0,0.13,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
22,60000,0.0,25475,10.99,1,0.42,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
25,234000,3.0,20000,14.27,0,0.09,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,234000,8.0,20000,8.88,0,0.09,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
26,234000,10.0,21600,12.18,0,0.09,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,221004,6.0,11900,14.42,1,0.05,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,232500,0.0,25000,14.17,0,0.11,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
25,230000,5.0,35000,13.99,0,0.15,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,83000,7.0,25300,10.99,1,0.3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22,12600,4.782063827772341,2000,5.42,1,0.16,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,12600,3.0,1750,13.61,0,0.14,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
21,42500,3.0,25000,12.73,1,0.59,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
24,41000,2.0,25000,11.011528565123772,1,0.61,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
25,12816,0.0,3000,12.87,1,0.23,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,12960,1.0,3650,9.91,1,0.28,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,226000,4.0,20000,11.49,0,0.09,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,225000,0.0,30000,19.91,0,0.13,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
26,213000,6.0,35000,10.65,1,0.16,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24,225000,0.0,6000,11.011528565123772,0,0.03,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24,12960,0.0,4500,11.83,1,0.35,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,12996,0.0,2400,13.49,1,0.18,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,42000,6.0,25000,14.59,1,0.6,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
26,48000,2.0,25000,9.64,1,0.52,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
25,12996,1.0,3600,14.59,1,0.28,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
22,12996,1.0,4750,11.011528565123772,1,0.37,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
25,42360,1.0,25000,16.35,1,0.59,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
21,49000,4.0,25000,10.99,1,0.51,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
25,225000,0.0,25000,18.67,0,0.11,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
26,225000,1.0,3000,9.32,0,0.01,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,225000,8.0,7500,8.63,0,0.03,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,225000,2.0,25000,10.08,0,0.11,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22,49464,5.0,25000,11.83,1,0.51,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
23,50000,1.0,25000,7.9,1,0.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,50000,4.0,25000,5.99,1,0.5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,44000,2.0,25000,15.33,1,0.57,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23,50000,1.0,25000,11.83,1,0.5,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
22,50004,0.0,25000,10.36,1,0.5,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
22,50004,3.0,25000,12.23,1,0.5,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
22,52000,2.0,25000,11.11,1,0.48,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
23,13200,3.0,4950,7.9,1,0.38,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,220000,1.0,25000,11.58,0,0.11,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,216000,5.0,21000,8.9,0,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,216000,2.0,25000,16.07,0,0.12,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,216000,10.0,20000,14.22,0,0.09,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
23,215000,7.0,35000,14.79,0,0.16,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,215000,11.0,12000,7.88,0,0.06,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,52000,1.0,25000,13.22,1,0.48,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
26,46000,2.0,25000,11.86,1,0.54,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,53000,5.0,25000,13.43,1,0.47,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
26,47000,0.0,25000,15.28,1,0.53,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
23,47000,1.0,25000,17.93,1,0.53,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23,13200,2.0,1400,9.25,0,0.11,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,13200,0.0,4500,12.98,1,0.34,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
22,210000,6.0,16000,10.62,0,0.08,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26,210000,10.0,22000,11.83,0,0.1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26,48000,5.0,25000,18.43,1,0.52,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
22,54996,6.0,25000,11.011528565123772,1,0.45,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24,55000,4.0,25000,11.011528565123772,1,0.45,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
23,55000,4.0,25000,11.36,1,0.45,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
23,55000,4.0,25000,15.65,1,0.45,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
24,55164,8.0,25000,13.22,1,0.45,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
26,56000,4.0,25000,12.87,1,0.45,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24,203500,8.0,20000,13.04,0,0.1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
23,190000,5.0,22000,17.58,1,0.12,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
23,13920,2.0,7750,17.04,1,0.56,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
24,60000,0.0,25000,10.99,1,0.42,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
24,60000,2.0,25000,11.11,1,0.42,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
26,54000,7.0,25000,14.83,1,0.46,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
23,14000,2.0,4000,11.011528565123772,1,0.29,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,200000,8.0,12000,12.69,0,0.06,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24,200000,8.0,12000,13.49,0,0.06,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,200000,5.0,16000,14.65,0,0.08,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,54000,3.0,25000,16.82,1,0.46,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
23,60000,3.0,25000,12.73,1,0.42,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
23,60000,7.0,25000,10.25,1,0.42,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
21,60000,6.0,25000,10.99,1,0.42,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
25,61959,9.0,25000,12.73,1,0.4,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
22,56400,2.0,25000,14.96,1,0.44,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
23,200000,7.0,28000,11.011528565123772,0,0.14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,200000,2.0,25000,13.99,0,0.13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,200000,3.0,24000,7.49,0,0.12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,200000,4.0,15000,14.79,0,0.07,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,200000,2.0,15500,11.99,0,0.08,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,200000,8.0,10000,8.49,0,0.05,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,66000,3.0,25000,9.91,1,0.38,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22,66000,6.0,25000,13.06,1,0.38,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
22,200000,6.0,9000,6.17,0,0.04,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,200000,5.0,18000,16.32,0,0.09,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
25,200000,2.0,12000,10.38,0,0.06,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
25,200000,9.0,23050,14.35,0,0.12,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,200000,8.0,20000,11.011528565123772,0,0.1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,60000,2.0,25000,11.011528565123772,1,0.42,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,14400,0.0,3000,11.011528565123772,1,0.21,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
26,66996,10.0,25000,15.21,1,0.37,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
23,67000,3.0,25000,7.9,1,0.37,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,67000,2.0,25000,10.99,1,0.37,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
24,68000,5.0,25000,14.09,1,0.37,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
25,69000,9.0,25000,17.49,1,0.36,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
25,200000,0.0,12000,11.48,0,0.06,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,188000,10.0,20000,17.74,1,0.11,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26,200000,4.0,3000,13.92,0,0.01,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,69996,9.0,25000,15.21,1,0.36,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
22,14400,2.0,4000,10.99,1,0.28,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
24,70000,3.0,25000,11.86,1,0.36,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24,14400,5.0,6000,7.49,1,0.42,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,56100,7.0,25000,16.49,1,0.38,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
25,66000,9.0,25000,15.33,1,0.38,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
26,66000,3.0,25000,11.58,1,0.38,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
25,14400,7.0,5375,5.79,1,0.37,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25,72612,9.0,25000,13.11,1,0.34,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
23,74000,3.0,25000,10.36,1,0.34,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
25,75000,9.0,25000,10.36,1,0.33,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,192000,0.0,22000,11.011528565123772,0,0.11,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
25,191000,1.0,10000,12.53,0,0.05,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,190300,5.0,15000,11.011528565123772,0,0.08,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,190000,3.0,10000,11.011528565123772,0,0.05,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,75000,4.0,25000,10.25,1,0.33,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22,71000,1.0,25000,15.95,1,0.35,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
26,190000,3.0,20000,12.18,0,0.11,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,189996,0.0,24000,11.83,0,0.13,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
23,78000,7.0,25000,11.011528565123772,1,0.32,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,78000,1.0,25000,10.62,1,0.32,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23,78504,7.0,25000,10.74,1,0.32,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
25,186000,9.0,10000,10.25,0,0.05,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
24,185000,4.782063827772341,35000,12.42,0,0.19,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,185000,6.0,15000,15.27,0,0.08,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24,62050,8.0,25000,15.33,1,0.34,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
23,79416,7.0,25000,15.21,1,0.31,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
21,14400,4.0,6250,14.72,1,0.43,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
24,79631,8.0,25000,15.7,1,0.31,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
24,79632,0.0,25000,13.35,1,0.31,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
21,14400,0.0,1500,11.011528565123772,0,0.1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,80000,6.0,25000,6.62,1,0.31,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,80000,5.0,25000,13.61,1,0.31,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,185000,4.0,25000,11.36,0,0.14,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
26,185000,10.0,5000,7.68,0,0.03,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,184992,7.0,22000,14.46,0,0.12,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
23,184000,5.0,2500,11.83,0,0.01,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
24,172000,6.0,20000,13.47,1,0.12,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,183000,2.0,20000,11.49,0,0.11,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
22,183000,3.0,1000,11.011528565123772,0,0.01,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,182952,9.0,15000,6.03,0,0.08,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,74004,7.0,25000,16.35,1,0.34,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,74004,10.0,25000,11.011528565123772,1,0.34,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,81000,5.0,25000,7.29,1,0.31,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,81600,1.0,25000,11.36,1,0.31,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24,82000,8.0,25000,10.25,0,0.3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
24,83000,5.0,25000,11.12,0,0.3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24,83000,5.0,25000,12.92,0,0.3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
24,180000,8.0,18000,18.64,0,0.1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
23,180000,8.0,28000,7.51,0,0.16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,14400,2.0,4000,16.7,1,0.28,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
22,14400,0.0,2100,11.14,0,0.15,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
22,84500,6.0,25000,18.3,0,0.3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
